week_end,pre_equity_pct,pre_bond_rates_pct,pre_bond_credit_pct,pre_commodity_pct,pre_cash_pct,cap2_equity_pct,cap2_bond_rates_pct,cap2_bond_credit_pct,cap2_commodity_pct,cap2_cash_pct,cap2_L,cap5_equity_pct,cap5_bond_rates_pct,cap5_bond_credit_pct,cap5_commodity_pct,cap5_cash_pct,cap5_L
2025-08-01,3.589,41.755,51.309,3.346,0.0,7.178,83.511,102.618,6.693,-100.0,2.0,17.328,201.587,247.709,16.156,-382.78,4.8278
2025-08-08,3.576,42.717,50.253,3.454,0.0,7.153,85.434,100.506,6.908,-100.0,2.0,17.217,205.637,241.914,16.627,-381.395,4.814
2025-08-15,3.517,41.896,51.177,3.41,0.0,7.035,83.791,102.354,6.82,-100.0,2.0,17.142,204.177,249.408,16.619,-387.346,4.8735
2025-08-22,3.542,40.775,52.35,3.332,0.0,7.085,81.55,104.7,6.665,-100.0,2.0,17.494,201.373,258.538,16.458,-393.863,4.9386
2025-08-29,3.527,40.619,52.586,3.268,0.0,7.055,81.238,105.172,6.536,-100.0,2.0,17.515,201.702,261.128,16.227,-396.573,4.9657
2025-09-05,3.505,39.755,53.465,3.275,0.0,7.01,79.509,106.93,6.551,-100.0,2.0,17.524,198.773,267.326,16.377,-400.0,5.0
2025-09-12,3.529,39.923,53.289,3.26,0.0,7.058,79.845,106.577,6.519,-100.0,2.0,17.646,199.613,266.443,16.298,-400.0,5.0
2025-09-19,3.57,40.75,52.467,3.213,0.0,7.14,81.5,104.934,6.426,-100.0,2.0,17.851,203.749,262.336,16.064,-400.0,5.0
2025-09-26,4.42,38.555,53.773,3.252,0.0,8.841,77.109,107.547,6.504,-100.0,2.0,22.101,192.773,268.867,16.259,-400.0,5.0
2025-10-03,1.354,37.865,53.994,3.348,3.439,2.708,75.73,107.987,6.697,-93.121,2.0,6.77,189.324,269.969,16.742,-382.804,5.0
2025-10-10,4.667,36.328,55.596,3.41,0.0,9.333,72.656,111.192,6.819,-100.0,2.0,23.333,181.639,277.981,17.048,-400.0,5.0
2025-10-17,4.203,31.925,60.605,3.267,0.0,8.407,63.849,121.21,6.534,-100.0,2.0,21.017,159.623,303.025,16.335,-400.0,5.0
2025-10-24,4.039,31.318,61.376,3.267,0.0,8.079,62.636,122.752,6.533,-100.0,2.0,20.197,156.59,306.879,16.333,-400.0,5.0
2025-10-31,4.079,31.083,61.56,3.277,0.0,8.158,62.167,123.121,6.555,-100.0,2.0,20.394,155.417,307.802,16.387,-400.0,5.0
2025-11-07,4.438,32.192,60.216,3.154,0.0,8.875,64.385,120.432,6.308,-100.0,2.0,22.189,160.962,301.08,15.769,-400.0,5.0
2025-11-14,4.33,29.995,62.213,3.462,0.0,8.66,59.99,124.426,6.925,-100.0,2.0,21.65,149.974,311.064,17.311,-400.0,5.0
2025-11-21,4.618,34.405,57.662,3.315,0.0,9.236,68.809,115.324,6.63,-100.0,2.0,23.09,172.024,288.31,16.576,-400.0,5.0
2025-11-28,4.613,35.337,57.013,3.037,0.0,9.227,70.674,114.026,6.073,-100.0,2.0,23.066,176.685,285.066,15.183,-400.0,5.0
2025-12-05,4.446,35.076,57.764,2.714,0.0,8.892,70.152,115.528,5.427,-100.0,2.0,22.231,175.38,288.821,13.569,-400.0,5.0
2025-12-12,4.113,41.094,52.27,2.523,0.0,8.225,82.189,104.541,5.045,-100.0,2.0,20.563,205.472,261.352,12.614,-400.0,5.0
2025-12-19,4.072,41.571,51.833,2.524,0.0,8.143,83.141,103.667,5.049,-100.0,2.0,20.358,207.853,259.167,12.622,-400.0,5.0
2025-12-26,4.126,42.175,51.394,2.305,0.0,8.251,84.351,102.787,4.611,-100.0,2.0,20.628,210.877,256.969,11.527,-400.0,5.0
2026-01-02,1.244,41.746,51.632,2.219,3.16,2.488,83.492,103.263,4.437,-93.68,2.0,6.22,208.729,258.158,11.093,-384.2,5.0
2026-01-09,4.416,44.155,49.442,1.987,0.0,8.833,88.31,98.883,3.974,-100.0,2.0,22.082,220.774,247.208,9.935,-400.0,5.0
2026-01-16,4.534,43.721,49.701,2.044,0.0,9.069,87.442,99.401,4.088,-100.0,2.0,22.672,218.604,248.503,10.221,-400.0,5.0
