week_end,cap2_ret_pct,cap2_nav,cap2_dd_pct,cap5_ret_pct,cap5_nav,cap5_dd_pct
2025-08-01,0.3731,1.003731,0.0,0.8582,1.008582,0.0
2025-08-08,0.0708,1.004441,0.0,0.1315,1.009909,0.0
2025-08-15,-0.0543,1.003896,-0.0543,-0.1723,1.008169,-0.1723
2025-08-22,0.24,1.006306,0.0,0.5508,1.013722,0.0
2025-08-29,0.1387,1.007702,0.0,0.3019,1.016782,0.0
2025-09-05,0.1263,1.008975,0.0,0.2738,1.019566,0.0
2025-09-12,-0.1349,1.007613,-0.1349,-0.379,1.015702,-0.379
2025-09-19,0.037,1.007986,-0.098,0.0498,1.016207,-0.3294
2025-09-26,0.3851,1.011868,0.0,0.9193,1.02555,0.0
2025-10-03,0.1199,1.013081,0.0,0.2566,1.028181,0.0
2025-10-10,-0.0229,1.012849,-0.0229,-0.0983,1.027171,-0.0983
2025-10-17,0.226,1.015138,0.0,0.5243,1.032556,0.0
2025-10-24,0.2293,1.017466,0.0,0.5324,1.038054,0.0
2025-10-31,-0.0346,1.017114,-0.0346,-0.1291,1.036714,-0.1291
2025-11-07,0.085,1.017978,0.0,0.1715,1.038493,0.0
2025-11-14,-0.5302,1.012581,-0.5302,-1.3676,1.02429,-1.3676
2025-11-21,0.3231,1.015853,-0.2088,0.7653,1.032129,-0.6127
2025-11-28,0.0677,1.016541,-0.1412,0.1281,1.033452,-0.4854
2025-12-05,0.0188,1.016731,-0.1225,0.0057,1.03351,-0.4798
2025-12-12,-0.0733,1.015987,-0.1957,-0.2243,1.031192,-0.703
2025-12-19,0.4718,1.02078,0.0,1.1381,1.042928,0.0
2025-12-26,-0.1595,1.019151,-0.1595,-0.4395,1.038345,-0.4395
2026-01-02,0.2369,1.021566,0.0,0.5418,1.04397,0.0
2026-01-09,0.3187,1.024822,0.0,0.7532,1.051833,0.0
2026-01-16,0.3612,1.028523,0.0,0.8602,1.060881,0.0
2026-01-23,-0.0068,1.028454,-0.0068,-0.0595,1.06025,-0.0595
2026-01-30,-0.2333,1.026054,-0.2401,-0.6276,1.053596,-0.6867
2026-02-06,0.3808,1.029961,0.0,0.9088,1.063171,0.0
2026-02-13,-0.0369,1.029582,-0.0369,-0.1348,1.061738,-0.1348
2026-02-20,-0.0128,1.029449,-0.0497,-0.0713,1.060981,-0.206
2026-02-27,-0.0314,1.029127,-0.081,-0.1193,1.059715,-0.325
2026-03-06,0.0154,1.029285,-0.0656,-0.0032,1.059681,-0.3282
2026-03-13,-0.3788,1.025386,-0.4442,-0.9883,1.049208,-1.3133
2026-03-20,-0.0189,1.025193,-0.463,-0.0886,1.048279,-1.4007
2026-03-27,-0.0155,1.025034,-0.4784,-0.0797,1.047444,-1.4793
2026-04-03,0.4218,1.029357,-0.0586,1.0139,1.058064,-0.4804
2026-04-10,0.4588,1.03408,0.0,1.1087,1.069795,0.0
2026-04-17,0.0123,1.034207,0.0,-0.0078,1.069711,-0.0078
2026-04-24,0.0828,1.035063,0.0,0.1688,1.071517,0.0
2026-05-01,0.0687,1.035774,0.0,0.1315,1.072926,0.0
2026-05-08,-0.0197,1.03557,-0.0197,-0.0889,1.071972,-0.0889
2026-05-15,-0.0152,1.035413,-0.0348,-0.0757,1.071161,-0.1645
2026-05-22,0.1371,1.036832,0.0,0.3045,1.074422,0.0
2026-05-29,-0.1247,1.03554,-0.1247,-0.3513,1.070648,-0.3513
2026-06-05,-0.3689,1.031719,-0.4932,-0.9617,1.060352,-1.3096
2026-06-12,0.387,1.035712,-0.1081,0.9268,1.070178,-0.395
2026-06-19,-0.2119,1.033517,-0.3198,-0.573,1.064046,-0.9657
2026-06-26,0.2989,1.036606,-0.0218,0.7045,1.071542,-0.2681
2026-07-03,0.0083,1.036692,-0.0136,-0.021,1.071317,-0.289
2026-07-10,-0.3598,1.032961,-0.3734,-0.9395,1.061252,-1.2258
2026-07-17,0.2758,1.03581,-0.0986,0.6489,1.068138,-0.5849
2026-07-24,-0.0176,1.035628,-0.1162,-0.0847,1.067234,-0.669
2026-07-31,-0.0303,1.035314,-0.1464,-0.1172,1.065983,-0.7855
